reviewId,content,at
7ba8fc59-74b6-4c4c-979a-04f627e9a2ad,Tolong ditambahkan fitur tarik tunai dan setor cashless seperti bni mobile,2024-07-05 08:14:09
66474ac9-d373-4f50-856e-422cd86f047b,Di tambah lagi fitur² nya...untuk bayar pendidikan belum bisa,2024-09-18 10:04:57
7a47486b-c1e4-4820-8d20-e53fac0885fe,"sangat mudah,dan lebih mudamenggunaan wonder pokoknya keren banget,semoga wonder BNI SUKSES",2025-03-18 09:59:12
5010b9c7-4f83-4c75-8b87-b24fcec5729b,sangat mantapppppp,2025-03-24 13:49:05
6b35a240-4d5e-47f7-97a6-c6c391672fba,bagus,2025-09-25 09:05:39
d86292af-9f35-4e92-9cf9-d8231cae1773,👍,2025-12-18 19:22:27
9140837f-2eb0-4f9e-b246-0a7bc0e91dc5,aplikasi nya lancar tidak ada kendala,2025-07-26 21:42:51
6b407b70-474e-488c-8a6e-d862fab8f3bb,bgus,2025-03-26 16:41:37
dedf1f98-787a-42fb-9917-2ac3ac1e9574,Masih gak nyangka bisa buka rekening bisa segampang dan semudah ini. Cuma pake hape dirumah gak pakai lama gak sampai 15 menit udah punya rekening BNI. Apalagi punya IKD jadi makin mudah.,2024-11-30 11:55:59
458b9744-f864-4380-b755-ad82db868ac5,sangat bagus wonder by bni,2025-08-07 12:15:54
9ef80be4-72a7-4539-bebb-ccabffb1bd71,Sangat Bagus,2025-05-09 11:15:05
9fb3ca89-dfda-4d7e-88bc-4dc1229f825d,Menu tarik tunai tanpa kartu kok tidak ada?,2024-10-15 14:00:46
181741da-42f5-416b-a6a4-384ddec0f9e3,"Saya sudah update , tapi mw buka wondr nya selalu ad kendala tim lagi perbaikan coba lagi. Beberapa hari lagi saya coba begitu terus,saya mau riset pin jg susah. Kenapa ya??",2025-02-22 09:10:53
3ad5f3f6-8e53-4b1f-9026-a7e37063ff5f,Keyeeen,2024-09-03 19:46:19
eb4cc928-428d-4114-b020-90725b883d10,Tidak bagus. Diminta verifikasi e mail tapi pesan di e mail tidak dikirim no verifikasinya,2024-10-26 14:24:38
730cda26-c31e-48d1-b8fc-3c2dfd947519,mantap mudah praktis,2025-10-24 16:42:30
98dd8d61-0798-4a1c-8bd8-ba6bee14293b,Keren,2024-07-03 17:17:19
1da9520a-2428-4a70-b2e6-1c10546aacc5,transaksi digital sangat membantu,2025-05-26 18:16:34
bdf7470d-9a19-4d0f-bb6c-8c03d18214f2,bagus,2025-10-12 19:46:15
1a632864-d439-4365-9acb-1e542e55f7f4,baik,2025-05-15 08:57:19
7a89018a-ba3a-4946-882f-d8125f2bcd72,sangat bagus,2025-11-30 12:43:32
c358a2c2-84f0-46ad-933b-aab30d221e89,good,2025-04-08 13:17:06
ef20ba5a-9b8f-450b-9888-54a542ce6a4b,terbaik,2025-12-01 08:37:34
f7a6edde-e4ea-438f-8dae-667e8ecf0d9d,"sudah 3 kali aplikasi tidak bisa dibuka, ujung2 nya minta ulang data foto KTP sama verifikasi wajah... padahal udah di buat dua kali sebelumnya, masih enak pake yang BNI Mobile nggak ribet... aplikasi 🤡",2025-10-06 08:16:44
736ffa5f-498f-4671-aa35-02f5eff71662,Kenapa kode verifikasi 6 digit tidak masuk masuk ke email saya?,2024-12-06 13:06:26
b45cd9a8-8ccd-4a61-a7e9-5045e9556067,"Verifikasi wajah permudah dong, susah amat, udah puluhan kali nyoba gagal terus",2024-10-19 10:33:12
4c660959-61ec-40b2-b1d5-c2c974b12e41,ok,2025-07-01 13:52:25
c08598e7-7c15-4f47-83f8-035685bed8dd,Susah verifikasi. Gagal mulu padahal koneksi sangat bagus,2025-01-21 19:04:08
966d6031-9bcf-4b4b-a4a0-9a6e322363f6,mantaaappp,2025-06-24 21:26:07
e28b352b-3092-4c0f-be09-26add56611f5,Aktivasinya mudah dan cepat,2024-09-02 16:26:17
a32bc2ad-9e9e-4c10-9bee-a6f8b2602454,"asem ni apk udh hampir 3 hari dibilang kena limit untuk verifikasi wajah jadinyabgak bisa login, padahal kalian sendiri yang bikin sistemnya tapi ngerepotin.",2025-10-08 06:05:35
6f34b0e0-a438-4663-a701-f59519d84a3a,Sangat membantu transaksi,2024-07-08 17:16:30
1fb9fde2-835b-4340-b87d-fc9d1bb47a58,aku kasih 4 bintang dulu,2025-09-19 19:25:46
76133276-2293-4d82-aa19-e5c2b8c83d8d,mudah dan ga ribet,2025-10-05 09:16:27
e0a367ff-eb2e-499a-a277-53d413f5aea5,"buka menu lama sekali,, kalau mau ubah tampilan jangn tangung tanggung,,,lebih baik tampilan yg bni lama",2025-07-07 03:19:44
96d4c294-6fee-48e4-8400-0a16d39b873f,sangat memuaskan aplikasinya,2025-04-11 11:43:29
deb636e3-3fb0-4fea-9b6a-fc1a29d53ec7,bgus simple,2025-02-27 11:18:24
51af7f41-e323-4edd-8380-11619b1b4ce5,Ok,2025-02-04 15:08:16
9dcfb2e5-a2d7-4175-a424-aaae9c476f39,bagus,2025-03-20 13:44:44
